season,pos,name,espn_id,team,pass_yds,pass_td,rush_yds,rush_td,rec_yds,rec_td,already_in_pool,approved
1995,QB,Jeff George,69,ATL,4143,24,17,0,0,0,,
1995,QB,John Elway,6470,DEN,3970,26,176,1,0,0,yes,
1995,QB,Jim Everett,6430,NO,3970,26,42,0,0,0,,
1995,QB,Drew Bledsoe,393,NE,3507,13,28,0,-9,0,yes,
1995,QB,Jim Kelly,6410,BUF,3130,22,20,0,0,0,,
1995,RB,Terrell Davis,790,DEN,0,0,1117,7,367,1,yes,
1995,RB,Rodney Hampton,6666,NYG,0,0,1182,10,142,0,,
1995,TE,Tony McGee,395,CIN,0,0,0,0,754,4,,
1995,TE,Jackie Harris,84,TB,0,0,0,0,751,1,,
1995,WR,Isaac Bruce,658,LAR,0,0,17,0,1781,13,yes,
1995,WR,Joey Galloway,751,SEA,0,0,154,1,1039,7,,
1996,QB,Ty Detmer,321,PHI,2911,15,59,1,0,0,,
1996,QB,Dan Marino,1,MIA,2795,17,-3,0,0,0,yes,
1996,QB,Trent Dilfer,649,TB,2859,12,124,0,0,0,yes,
1996,QB,Jim Kelly,6410,BUF,2810,14,66,2,0,0,,
1996,QB,Jim Everett,6430,NO,2797,12,3,0,0,0,,
1996,RB,Emmitt Smith,72,DAL,0,0,1204,12,249,3,yes,
1996,RB,Eddie George,930,TEN,0,0,1368,8,182,0,yes,
1996,RB,Thurman Thomas,4,BUF,0,0,1033,8,254,0,,
1996,RB,Marcus Allen,6465,KC,0,0,830,9,270,0,,
1996,WR,Jerry Rice,12,SF,0,0,77,1,1254,8,yes,
1996,WR,Jimmy Smith,278,JAX,0,0,0,0,1244,7,yes,
1996,WR,Andre Reed,6,BUF,0,0,22,0,1036,6,,
1996,WR,Joey Galloway,751,SEA,0,0,127,0,987,7,,
1996,WR,Antonio Freeman,890,GB,0,0,0,0,933,9,yes,
1997,QB,Dan Marino,1,MIA,3780,16,-14,0,0,0,yes,
1997,QB,Troy Aikman,53,DAL,3283,19,79,0,0,0,yes,
1997,QB,Kordell Stewart,736,PIT,3020,21,476,11,0,0,yes,
1997,QB,Vinny Testaverde,9,BAL,2971,18,138,0,-4,0,yes,
1997,RB,Ricky Watters,114,PHI,0,0,1110,7,440,0,yes,
