espn_id,name,pos,jersey,jersey_source,college_id,college_name,college_logo,college_source,draft_status,draft_year,draft_round,draft_pick,draft_team,draft_team_name,draft_source,included,notes,country,country_name,country_source
3192,Aaron Brooks,G,,,2483,Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,espn,drafted,2007,1,26,HOU,Houston Rockets,espn,true,,us,United States,wikipedia birthplace
308,Al Harrington,F,,,,,,,drafted,1998,1,25,IND,Indiana Pacers,espn,true,,us,United States,wikipedia birthplace
3213,Al Horford,C,20,espn,57,Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,espn,drafted,2007,1,3,ATL,Atlanta Hawks,espn,true,,do,Dominican Republic,espn birthplace
2389,Al Jefferson,C,,,,,,,drafted,2004,1,15,BOS,Boston Celtics,espn,true,,us,United States,wikipedia birthplace
349,Allan Houston,G,,,2633,Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,espn,drafted,1993,1,11,DET,Detroit Pistons,espn,true,,us,United States,wikipedia birthplace
366,Allen Iverson,G,,,46,Georgetown,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,espn,drafted,1996,1,1,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
580,Alonzo Mourning,C,,,46,Georgetown,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,espn,drafted,1992,1,2,CHH,Charlotte Hornets,espn,true,,us,United States,espn birthplace
1727,Amar'e Stoudemire,C,,,,,,,drafted,2002,1,9,PHX,Phoenix Suns,espn,true,,us,United States,wikipedia birthplace
2419,Anderson Varejao,C,,,,,,,drafted,2004,2,30,ORL,Orlando Magic,espn,true,,br,Brazil,espn birthplace
6585,Andre Drummond,C,0,wikipedia,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,espn,drafted,2012,1,9,DET,Detroit Pistons,espn,true,,us,United States,espn birthplace
2386,Andre Iguodala,F,,,12,Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,espn,drafted,2004,1,9,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
557,Andre Miller,G,,,254,Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,espn,drafted,1999,1,8,CLE,Cleveland Cavaliers,espn,true,,us,United States,espn birthplace
2987,Andrea Bargnani,C,,,,,,,drafted,2006,1,1,TOR,Toronto Raptors,espn,true,,it,Italy,espn birthplace
