season,pos,number,wiki_title,name,team,espn_id,note
1995,C,,Shaquille O'Neal,Shaquille O'Neal,,614,ppg · 29.3 ppg · 11.4 rpg
1995,C,,Hakeem Olajuwon,Hakeem Olajuwon,,619,ppg · 27.8 ppg · 10.8 rpg
1995,C,,David Robinson,David Robinson,,715,ppg · 27.6 ppg · 10.8 rpg
1995,G,,Michael Jordan,Michael Jordan,,1035,ppg · 26.9 ppg · 6.9 rpg · 5.3 apg
1995,F,,Karl Malone,Karl Malone,,501,ppg · 26.7 ppg · 10.6 rpg
1995,F,,Jim Jackson (basketball),Jim Jackson,,372,ppg · 25.7 ppg
1995,F,,Jamal Mashburn,Jamal Mashburn,,516,ppg · 24.1 ppg
1995,C,,,Patrick Ewing,,237,ppg · 23.9 ppg · 11.0 rpg
1995,F,,Charles Barkley,Charles Barkley,,37,ppg · 23.0 ppg · 11.1 rpg · 4.1 apg
1995,G,,Mitch Richmond,Mitch Richmond,,704,ppg · 22.8 ppg · 3.8 apg
1995,F,,Glen Rice,Glen Rice,,702,ppg · 22.3 ppg
1995,F,,Glenn Robinson,Glenn Robinson,,717,ppg · 21.9 ppg · 6.4 rpg
1995,G,,Clyde Drexler,Clyde Drexler,,3686,ppg · 21.8 ppg · 6.3 rpg · 4.8 apg
1995,F,,Cedric Ceballos,Cedric Ceballos,,141,ppg · 21.7 ppg · 8.0 rpg
1995,F,,Scottie Pippen,Scottie Pippen,,663,ppg · 21.4 ppg · 8.1 rpg · 5.2 apg
1995,F,,"Clifford Robinson (basketball, born 1966)",Clifford Robinson,,714,ppg · 21.3 ppg
1995,C,,Alonzo Mourning,Alonzo Mourning,,580,ppg · 21.3 ppg · 9.9 rpg
1995,F,,,Anfernee Hardaway,,302,ppg · 20.9 ppg · 7.2 apg
1995,G,,,Gary Payton,,640,ppg · 20.6 ppg · 7.1 apg
1995,G,,Latrell Sprewell,Latrell Sprewell,,800,ppg · 20.6 ppg · 4.0 apg
1995,G,,Dana Barros,Dana Barros,,40,ppg · 20.6 ppg · 7.5 apg
1995,F,,Derrick Coleman,Derrick Coleman,,156,ppg · 20.5 ppg · 10.6 rpg
1995,G,,Isaiah Rider,Isaiah Rider,,705,ppg · 20.4 ppg
1995,G,,Tim Hardaway,Tim Hardaway,,301,ppg · 20.1 ppg · 9.3 apg
