espn_id,person_id,display_name,included,espn_headshot,photo_source,photo_license,photo_approved,notes
7,moon-warren,Warren Moon,true,false,,,false,
8,cunningham-randall,Randall Cunningham,true,false,,,false,
9,testaverde-vinny,Vinny Testaverde,true,false,,,false,
12,rice-jerry,Jerry Rice,true,false,,,false,
18,beuerlein-steve,Steve Beuerlein,true,false,,,false,
22,brister-bubby,Bubby Brister,true,false,,,false,
26,feagles-jeff,Jeff Feagles,true,false,,,false,
27,harbaugh-jim,Jim Harbaugh,true,true,,,false,
29,chandler-chris,Chris Chandler,true,false,,,false,
30,rypien-mark,Mark Rypien,true,false,,,false,
33,gannon-rich,Rich Gannon,true,false,,,false,
35,flutie-doug,Doug Flutie,true,false,,,false,
42,tupa-tom,Tom Tupa,true,false,,,false,
44,johnson-lee,Lee Johnson,true,false,,,false,
53,aikman-troy,Troy Aikman,true,false,,,false,
59,peete-rodney,Rodney Peete,true,false,,,false,
69,george-jeff,Jeff George,true,false,,,false,
72,smith-emmitt,Emmitt Smith,true,false,,,false,
74,mitchell-scott,Scott Mitchell,true,false,,,false,
76,friesz-john,John Friesz,true,false,,,false,
90,proehl-ricky,Ricky Proehl,true,false,,,false,
97,stryzinski-dan,Dan Stryzinski,true,false,,,false,
102,mitchell-brian,Brian Mitchell,true,false,,,false,
112,favre-brett,Brett Favre,true,true,,,false,
118,mohr-chris,Chris Mohr,true,false,,,false,
127,o-donnell-neil,Neil O'Donnell,true,false,,,false,
131,royals-mark,Mark Royals,true,false,,,false,
137,barker-bryan,Bryan Barker,true,false,,,false,
228,aguiar-louis,Louis Aguiar,true,false,,,false,
269,gardocki-chris,Chris Gardocki,true,false,,,false,
276,mccardell-keenan,Keenan McCardell,true,true,,,false,
279,maddox-tommy,Tommy Maddox,true,false,,,false,
321,detmer-ty,Ty Detmer,true,false,,,false,
331,johnson-brad,Brad Johnson,true,false,,,false,
334,small-torrance,Torrance Small,true,false,,,false,
337,graham-kent,Kent Graham,true,false,,,false,
341,blake-jeff,Jeff Blake,true,false,,,false,
367,brown-dave,Dave Brown,true,false,,,false,
389,bettis-jerome,Jerome Bettis,true,false,,,false,
391,kirby-terry,Terry Kirby,true,false,,,false,
393,bledsoe-drew,Drew Bledsoe,true,false,,,false,
398,mirer-rick,Rick Mirer,true,false,,,false,
399,grbac-elvis,Elvis Grbac,true,false,,,false,
445,brunell-mark,Mark Brunell,true,true,,,false,
458,anderson-richie,Richie Anderson,true,true,,,false,
478,green-trent,Trent Green,true,false,,,false,
516,wycheck-frank,Frank Wycheck,true,false,,,false,
520,matthews-shane,Shane Matthews,true,false,,,false,
525,pederson-doug,Doug Pederson,true,false,,,false,
526,bartrum-mike,Mike Bartrum,true,false,,,false,
530,van-pelt-alex,Alex Van Pelt,true,false,,,false,
531,martin-jamie,Jamie Martin,true,false,,,false,
538,hentrich-craig,Craig Hentrich,true,false,,,false,
548,faulk-marshall,Marshall Faulk,true,false,,,false,
551,warren-lamont,Lamont Warren,true,false,,,false,
554,boyer-brant,Brant Boyer,true,false,,,false,
580,miller-jim,Jim Miller,true,false,,,false,
603,smith-lamar,Lamar Smith,true,false,,,false,
619,berger-mitch,Mitch Berger,true,false,,,false,
622,frerotte-gus,Gus Frerotte,true,false,,,false,
637,levens-dorsey,Dorsey Levens,true,false,,,false,
640,schroeder-bill,Bill Schroeder,true,false,,,false,
649,dilfer-trent,Trent Dilfer,true,false,,,false,
658,bruce-isaac,Isaac Bruce,true,false,,,false,
712,fiedler-jay,Jay Fiedler,true,false,,,false,
726,wilkins-jeff,Jeff Wilkins,true,false,,,false,
733,mcnair-steve,Steve McNair,true,false,,,false,
734,collins-kerry,Kerry Collins,true,true,,,false,
735,collins-todd,Todd Collins,true,true,,,false,
736,stewart-kordell,Kordell Stewart,true,false,,,false,
740,stewart-james,James Stewart,true,false,,,false,
744,dilger-ken,Ken Dilger,true,false,,,false,
749,sanders-frank,Frank Sanders,true,false,,,false,
751,galloway-joey,Joey Galloway,true,true,,,false,
760,case-stoney,Stoney Case,true,false,,,false,
768,sauerbrun-todd,Todd Sauerbrun,true,false,,,false,
775,martin-curtis,Curtis Martin,true,false,,,false,
780,zeier-eric,Eric Zeier,true,false,,,false,
789,johnson-rob,Rob Johnson,true,false,,,false,
796,chrebet-wayne,Wayne Chrebet,true,false,,,false,
