season,pos,wiki_title,name,team,espn_id,note
2000,QB,Rich Gannon,Rich Gannon,Oakland,33,
2000,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2000,QB,Brian Griese,Brian Griese,Denver,1493,
2000,QB,Steve McNair,Steve McNair,Tennessee,733,
2000,QB,Elvis Grbac,Elvis Grbac,Kansas City,399,
2000,RB,Edgerrin James,Edgerrin James,Indianapolis,1755,
2000,RB,Eddie George,Eddie George,Tennessee,930,
2000,RB,Corey Dillon,Corey Dillon,Cincinnati,1196,
2000,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2000,WR,Eric Moulds,Eric Moulds,Buffalo,935,
2000,WR,Jimmy Smith (wide receiver),Jimmy Smith,Jacksonville,278,
2000,WR,Rod Smith (wide receiver),Rod Smith,Denver,866,
2000,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2000,TE,Frank Wycheck,Frank Wycheck,Tennessee,516,
2000,QB,Daunte Culpepper,Daunte Culpepper,Minnesota,1762,
2000,QB,Jeff Garcia,Jeff Garcia,San Francisco,2026,
2000,QB,Kurt Warner,Kurt Warner,St. Louis,1682,
2000,QB,Donovan McNabb,Donovan McNabb,Philadelphia,1753,
2000,RB,Marshall Faulk,Marshall Faulk,St. Louis,548,
2000,RB,Charlie Garner,Charlie Garner,San Francisco,616,
2000,RB,Robert Smith (running back),Robert Smith,Minnesota,386,
2000,RB,Stephen Davis (American football),Stephen Davis,Washington,979,
2000,RB,Warrick Dunn,Warrick Dunn,Tampa Bay,1175,
2000,WR,Isaac Bruce,Isaac Bruce,St. Louis,658,
2000,WR,Randy Moss,Randy Moss,Minnesota,1433,
2000,WR,Cris Carter,Cris Carter,Minnesota,10,
2000,WR,Terrell Owens,Terrell Owens,San Francisco,1056,
2000,WR,Joe Horn,Joe Horn,New Orleans,1042,
2000,WR,Torry Holt,Torry Holt,St. Louis,1757,
2000,TE,Chad Lewis,Chad Lewis,Philadelphia,1311,
2000,TE,Stephen Alexander (American football),Stephen Alexander,Washington,1478,
2001,QB,Rich Gannon,Rich Gannon,Oakland,33,
2001,QB,Tom Brady,Tom Brady,New England,2330,
2001,QB,Kordell Stewart,Kordell Stewart,Pittsburgh,736,
2001,RB,Curtis Martin,Curtis Martin,N.Y. Jets,775,
2001,RB,Jerome Bettis,Jerome Bettis,Pittsburgh,389,
2001,RB,Priest Holmes,Priest Holmes,Kansas City,1306,
2001,RB,Corey Dillon,Corey Dillon,Cincinnati,1196,
2001,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2001,WR,Rod Smith (wide receiver),Rod Smith,Denver,866,
2001,WR,Tim Brown (American football),Tim Brown,Oakland,16,
2001,WR,Jimmy Smith (wide receiver),Jimmy Smith,Jacksonville,278,
2001,WR,Troy Brown,Troy Brown,New England,420,
2001,WR,Hines Ward,Hines Ward,Pittsburgh,1494,
2001,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
