season,team_id,espn_id,role,passing_yards,espn_order,starter,source
2000,ARI,1177,QB,2946,0,false,leaders
2000,ARI,367,QB,467,1,false,leaders
2000,ARI,1992,QB,65,2,false,leaders
2000,ATL,29,QB,2236,0,false,leaders
2000,ATL,975,QB,524,1,false,leaders
2000,ATL,2405,QB,406,2,false,leaders
2000,BAL,927,QB,1578,0,false,leaders
2000,BAL,649,QB,1502,1,false,leaders
2000,BAL,2206,QB,19,2,false,leaders
2000,BAL,1047,QB,3,3,false,leaders
2000,BUF,789,QB,2125,0,false,leaders
2000,BUF,35,QB,1700,1,false,leaders
2000,BUF,530,QB,67,2,false,leaders
2000,BUF,118,QB,44,3,false,leaders
2000,CAR,18,QB,3730,0,false,leaders
2000,CAR,1015,QB,120,1,false,leaders
2000,CAR,1340,QB,0,2,false,leaders
2000,CHI,1763,QB,1646,0,false,leaders
2000,CHI,520,QB,964,1,false,leaders
2000,CHI,580,QB,382,2,false,leaders
2000,CHI,228,QB,13,3,false,leaders
2000,CHI,2512,QB,0,4,false,leaders
2000,CIN,1754,QB,1253,0,false,leaders
2000,CIN,74,QB,966,1,false,leaders
2000,CLE,1752,QB,1483,0,false,leaders
2000,CLE,525,QB,1047,1,false,leaders
2000,CLE,2314,QB,167,2,false,leaders
2000,CLE,1784,QB,23,3,false,leaders
2000,CLE,2411,QB,8,4,false,leaders
2000,DAL,53,QB,1632,0,false,leaders
2000,DAL,8,QB,849,1,false,leaders
2000,DAL,2053,QB,237,2,false,leaders
2000,DAL,2480,QB,53,3,false,leaders
2000,DEN,1493,QB,2688,0,false,leaders
2000,DEN,622,QB,1776,1,false,leaders
2000,DEN,2345,QB,0,2,false,leaders
2000,DET,1490,QB,2489,0,false,leaders
2000,DET,760,QB,503,1,false,leaders
2000,GB,112,QB,3812,0,false,leaders
2000,GB,1575,QB,104,1,false,leaders
2000,GB,1432,QB,0,2,false,leaders
2000,IND,1428,QB,4413,0,false,leaders
2000,JAX,445,QB,3640,0,false,leaders
2000,JAX,531,QB,307,1,false,leaders
2000,KC,399,QB,4169,0,false,leaders
2000,KC,7,QB,208,1,false,leaders
2000,KC,2152,QB,31,2,false,leaders
2000,LAC,1427,QB,1883,0,false,leaders
2000,LAC,27,QB,1416,1,false,leaders
2000,LAC,1610,QB,241,2,false,leaders
2000,LAC,1411,QB,0,3,false,leaders
2000,LAR,1682,QB,3429,0,false,leaders
2000,LAR,478,QB,2063,1,false,leaders
2000,LV,33,QB,3430,0,false,leaders
